fund_name,risk,category,rating,1y_return,3y_return,5y_return,1y_return_band,3y_return_band,5y_return_band,avg_return,risk_score,risk_adjusted_return,return_std,fund_age,rank
HDFC Silver ETF FoF Direct Growth,Very High Risk,Commodities,3.0,159.93,53.58,,High,High,No Data,106.755,7,15.250714285714285,75.20080617918934,2,6.0
SBI Gold Direct Plan Growth,Very High Risk,Commodities,4.0,78.67,37.57,25.18,High,High,High,47.14000000000001,7,6.734285714285716,27.99970892705851,3,21.0
Parag Parikh Flexi Cap Fund Direct Growth,Very High Risk,Equity,5.0,6.89,20.72,18.76,Moderate,High,High,15.456666666666669,7,2.2080952380952383,7.483397178643757,3,350.0
Bandhan Small Cap Fund Direct Growth,Very High Risk,Equity,5.0,9.51,32.5,25.94,Moderate,High,High,22.650000000000002,7,3.235714285714286,11.84285016370637,3,79.0
Motilal Oswal Midcap Fund Direct Growth,Very High Risk,Equity,3.0,-1.04,24.93,26.08,Loss,High,High,16.656666666666666,7,2.3795238095238096,15.336545677998464,3,253.0
Nippon India Silver ETF FoF Direct Growth,Very High Risk,Commodities,3.0,158.6,53.12,,High,High,No Data,105.86,7,15.122857142857143,74.58562327955703,2,7.0
HDFC Mid Cap Fund Direct Growth,Very High Risk,Equity,5.0,15.21,26.76,24.64,High,High,High,22.203333333333333,7,3.171904761904762,6.148465933331122,3,86.0
Tata Gold ETF FoF Direct Growth,High Risk,Commodities,5.0,75.74,,,High,No Data,No Data,75.74,6,12.623333333333333,,1,15.0
Nippon India Small Cap Fund Direct Growth,Very High Risk,Equity,4.0,4.86,22.34,25.65,Low,High,High,17.616666666666664,7,2.516666666666666,11.170874331641787,3,212.0
HDFC Flexi Cap Direct Plan Growth,Very High Risk,Equity,5.0,13.98,22.94,21.33,Good,High,High,19.416666666666668,7,2.773809523809524,4.776613165552904,3,146.5
Aditya Birla Sun Life Silver ETF FoF Direct Growth,Very High Risk,Commodities,3.0,158.57,52.99,,High,High,No Data,105.78,7,15.111428571428572,74.65633395767568,2,9.0
Quant Small Cap Fund Direct Plan Growth,Very High Risk,Equity,4.0,1.92,21.12,27.9,Low,High,High,16.98,7,2.4257142857142857,13.475711483999648,3,233.0
SBI PSU Direct Plan Growth,Very High Risk,Equity,3.0,25.46,34.82,29.89,High,High,High,30.05666666666667,7,4.293809523809524,4.682225254441881,3,39.0
Nippon India Large Cap Fund Direct Growth,Very High Risk,Equity,5.0,12.34,20.27,18.65,Good,High,High,17.086666666666666,7,2.440952380952381,4.1897772414930765,3,229.0
Motilal Oswal Gold and Silver Passive FoF Direct Growth,Very High Risk,Commodities,4.0,98.72,41.72,,High,High,No Data,70.22,7,10.031428571428572,40.30508652763321,2,17.0
HDFC Gold ETF Fund of Fund Direct Plan Growth,High Risk,Commodities,3.0,78.56,37.47,25.0,High,High,High,47.01,6,7.835,28.025472342139036,3,23.0
SBI Silver ETF FoF Direct Growth,Very High Risk,Commodities,3.0,164.16,,,High,No Data,No Data,164.16,7,23.451428571428572,,1,1.0
Edelweiss Gold and Silver ETF FoF Direct Growth,Very High Risk,Commodities,5.0,112.93,44.16,,High,High,No Data,78.545,7,11.220714285714285,48.62773334219888,2,10.0
Motilal Oswal BSE Enhanced Value Index Fund Direct Growth,Very High Risk,Equity,5.0,32.0,35.89,,High,High,No Data,33.945,7,4.849285714285714,2.7506453788156704,2,34.0
Aditya Birla Sun Life PSU Equity Fund Direct Growth,Very High Risk,Equity,3.0,24.4,32.24,29.49,High,High,High,28.709999999999997,7,4.101428571428571,3.9777757603967587,3,42.0
UTI Nifty 50 Index Fund Direct Growth,Very High Risk,Equity,3.0,10.8,14.14,12.43,Good,Good,Good,12.456666666666669,7,1.7795238095238097,1.6701596730053487,3,555.0
Tata Silver ETF FoF Direct Growth,Very High Risk,Commodities,3.0,154.48,,,High,No Data,No Data,154.48,7,22.068571428571428,,1,4.0
ICICI Prudential Large Cap Fund Direct Growth,Very High Risk,Equity,5.0,11.72,18.9,16.34,Good,High,High,15.65333333333333,7,2.2361904761904756,3.6389192534780608,3,336.0
ICICI Prudential BHARAT 22 FOF Direct Growth,Very High Risk,Equity,5.0,21.78,28.75,27.25,High,High,High,25.926666666666666,7,3.703809523809524,3.668601004924538,3,55.0
SBI Small Cap Fund Direct Growth,Very High Risk,Equity,2.0,1.0,14.73,17.78,Low,Good,High,11.170000000000002,7,1.5957142857142859,8.938528961747565,3,669.0
Tata Small Cap Fund Direct Growth,Very High Risk,Equity,4.0,-3.15,17.1,23.25,Loss,High,High,12.4,7,1.7714285714285716,13.813308799849514,3,563.5
ICICI Prudential Multi Asset Fund Direct Growth,Very High Risk,Hybrid,5.0,16.4,20.59,21.26,High,High,High,19.416666666666668,7,2.773809523809524,2.633900782742839,3,146.5
Nippon India Multi Asset Allocation Fund Direct Growth,Very High Risk,Hybrid,4.0,23.35,22.67,18.03,High,High,High,21.350000000000005,7,3.0500000000000007,2.8952374686716116,3,106.0
