fund_name,risk,category,rating,1y_return,3y_return,5y_return
HDFC Silver ETF FoF Direct Growth,Very High Risk,Commodities,,159.93%,53.58%,NA
SBI Gold Direct Plan Growth,Very High Risk,Commodities,4,78.67%,37.57%,25.18%
Parag Parikh Flexi Cap Fund Direct Growth,Very High Risk,Equity,5,6.89%,20.72%,18.76%
Bandhan Small Cap Fund Direct Growth,Very High Risk,Equity,5,9.51%,32.50%,25.94%
Motilal Oswal Midcap Fund Direct Growth,Very High Risk,Equity,3,-1.04%,24.93%,26.08%
Nippon India Silver ETF FoF Direct Growth,Very High Risk,Commodities,,158.60%,53.12%,NA
HDFC Mid Cap Fund Direct Growth,Very High Risk,Equity,5,15.21%,26.76%,24.64%
Tata Gold ETF FoF Direct Growth,High Risk,Commodities,5,75.74%,NA,NA
Nippon India Small Cap Fund Direct Growth,Very High Risk,Equity,4,4.86%,22.34%,25.65%
HDFC Flexi Cap Direct Plan Growth,Very High Risk,Equity,5,13.98%,22.94%,21.33%
Aditya Birla Sun Life Silver ETF FoF Direct Growth,Very High Risk,Commodities,,158.57%,52.99%,NA
JioBlackRock Flexi Cap Fund Direct Growth,Very High Risk,Equity,,NA,NA,NA
Quant Small Cap Fund Direct Plan Growth,Very High Risk,Equity,4,1.92%,21.12%,27.90%
SBI PSU Direct Plan Growth,Very High Risk,Equity,,25.46%,34.82%,29.89%
Nippon India Large Cap Fund Direct Growth,Very High Risk,Equity,5,12.34%,20.27%,18.65%
Motilal Oswal Gold and Silver Passive FoF Direct Growth,Very High Risk,Commodities,4,98.72%,41.72%,NA
HDFC Gold ETF Fund of Fund Direct Plan Growth,High Risk,Commodities,3,78.56%,37.47%,25.00%
SBI Silver ETF FoF Direct Growth,Very High Risk,Commodities,,164.16%,NA,NA
Edelweiss Gold and Silver ETF FoF Direct Growth,Very High Risk,Commodities,5,112.93%,44.16%,NA
Motilal Oswal BSE Enhanced Value Index Fund Direct Growth,Very High Risk,Equity,5,32.00%,35.89%,NA
Aditya Birla Sun Life PSU Equity Fund Direct Growth,Very High Risk,Equity,,24.40%,32.24%,29.49%
UTI Nifty 50 Index Fund Direct Growth,Very High Risk,Equity,3,10.80%,14.14%,12.43%
Tata Silver ETF FoF Direct Growth,Very High Risk,Commodities,,154.48%,NA,NA
ICICI Prudential Large Cap Fund Direct Growth,Very High Risk,Equity,5,11.72%,18.90%,16.34%
ICICI Prudential BHARAT 22 FOF Direct Growth,Very High Risk,Equity,5,21.78%,28.75%,27.25%
SBI Small Cap Fund Direct Growth,Very High Risk,Equity,2,1.00%,14.73%,17.78%
Tata Small Cap Fund Direct Growth,Very High Risk,Equity,4,-3.15%,17.10%,23.25%
ICICI Prudential Multi Asset Fund Direct Growth,Very High Risk,Hybrid,5,16.40%,20.59%,21.26%
Nippon India Multi Asset Allocation Fund Direct Growth,Very High Risk,Hybrid,4,23.35%,22.67%,18.03%
Motilal Oswal Large and Midcap Fund Direct Growth,Moderately High Risk,Equity,5,10.71%,26.02%,22.12%
Axis Silver FoF Direct Growth,Very High Risk,Commodities,,160.72%,53.63%,NA
SBI Contra Direct Plan Growth,Very High Risk,Equity,5,7.91%,21.42%,22.45%
JioBlackRock Nifty 50 Index Fund Direct Growth,Very High Risk,Equity,,NA,NA,NA
HDFC Small Cap Fund Direct Growth,Very High Risk,Equity,4,7.81%,20.66%,22.86%
Nippon India Multi Cap Fund Direct Growth,Very High Risk,Equity,5,10.88%,22.69%,23.39%
ICICI Prudential NASDAQ 100 Index Fund Direct Growth,Very High Risk,Equity,,18.73%,30.23%,NA
Nippon India Growth Mid Cap Fund Direct Growth,Very High Risk,Equity,4,15.23%,27.05%,24.07%
SBI Magnum Children's Benefit Fund Investment Plan Direct Growth,Very High Risk,Hybrid,5,7.30%,24.11%,32.78%
HDFC NIFTY 50 Index Fund Direct Growth,Very High Risk,Equity,3,10.75%,14.10%,12.39%
Axis Small Cap Fund Direct Growth,Very High Risk,Equity,3,4.92%,18.77%,21.25%
JioBlackRock Nifty Smallcap 250 Index Fund Direct Growth,Very High Risk,Equity,,NA,NA,NA
Groww Gold ETF FOF Direct Growth,Very High Risk,Commodities,,75.23%,NA,NA
Edelweiss Mid Cap Direct Plan Growth,Very High Risk,Equity,5,14.77%,27.84%,24.09%
Motilal Oswal Nifty India Defence Index Fund Direct Growth,Very High Risk,Equity,,33.73%,NA,NA
Invesco India Mid Cap Fund Direct Growth,Very High Risk,Equity,4,16.98%,28.64%,23.14%
Invesco India Smallcap Fund Direct Growth,Very High Risk,Equity,5,7.52%,26.28%,24.54%
Groww Silver ETF FoF Direct Growth,Very High Risk,Commodities,,NA,NA,NA
SBI Large Cap Direct Plan Growth,Very High Risk,Equity,4,11.51%,15.52%,13.33%
JioBlackRock Liquid Fund Direct Growth,Low to Moderate Risk,Debt,,NA,NA,NA
Groww Nifty Total Market Index Fund Direct Growth,Very High Risk,Equity,,9.46%,NA,NA
LIC MF Gold ETF FoF Direct Growth,High Risk,Commodities,3,76.32%,37.62%,25.57%
HDFC Defence Fund Direct Growth,Very High Risk,Equity,,28.90%,NA,NA
Motilal Oswal Small Cap Fund Direct Growth,Very High Risk,Equity,,5.38%,NA,NA
SBI ELSS Tax Saver Fund Direct Growth,Very High Risk,Equity,5,9.61%,24.88%,20.27%
Tata Digital India Fund Direct Growth,Very High Risk,Equity,,-10.78%,12.48%,14.51%
SBI Large & Midcap Fund Direct Plan Growth,Very High Risk,Equity,4,14.22%,19.89%,18.79%
SBI Children's Fund Investment Plan Direct Growth,Very High Risk,Hybrid,5,8.71%,22.95%,28.39%
ICICI Prudential Technology Direct Plan Growth,Very High Risk,Equity,,-6.79%,12.90%,14.59%
ICICI Prudential Nifty 50 Index Direct Plan Growth,Very High Risk,Equity,3,10.74%,14.09%,12.39%
ICICI Prudential Large & Mid Cap Fund Direct Plan Growth,Very High Risk,Equity,5,12.80%,22.50%,21.83%
LIC MF Infrastructure Fund Direct Growth,Very High Risk,Equity,4,14.65%,30.26%,25.26%
